Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,SOS,NonConfSOS,Q1,Q2,Q3,Q4
UConn(AQ),Big East,1,2,54,105,37-3,21-2,16-1,9-3,10,21,18-3,8-0,1-0,10-0
Houston,Big 12,2,1,16,89,32-5,17-4,15-1,7-3,13,120,16-5,4-0,5-0,7-0
Purdue,Big Ten,3,3,3,71,34-5,18-4,16-1,7-3,2,5,16-5,8-0,6-0,4-0
Arizona,Pac-12,4,4,11,87,27-9,16-6,11-3,7-4,47,12,9-4,7-4,9-1,2-0
Tennessee,SEC,5,7,9,83,27-9,14-5,13-4,8-3,9,8,11-8,4-1,7-0,5-0
Iowa St.(AQ),Big 12,6,6,61,108,29-8,16-5,13-3,5-5,24,212,10-7,7-1,3-0,9-0
Auburn(AQ),SEC,7,5,48,103,27-8,16-5,11-3,5-5,70,180,3-6,10-2,9-0,5-0
North Carolina,ACC,8,8,13,88,29-8,19-4,10-4,8-2,19,26,11-6,6-2,6-0,6-0
Duke,ACC,9,10,45,101,27-9,15-6,12-3,7-4,49,49,7-6,7-3,7-0,6-0
Alabama,SEC,10,9,1,70,25-12,13-6,12-6,5-5,1,7,7-11,8-1,7-0,3-0
Creighton,Big East,11,11,38,100,25-10,14-7,11-3,8-5,17,37,9-7,7-3,2-0,7-0
Illinois(AQ),Big Ten,12,13,21,92,29-9,17-6,12-3,6-5,23,56,8-7,8-1,8-1,5-0
Marquette,Big East,13,14,13,88,27-10,16-7,11-3,7-5,7,23,11-9,5-1,5-0,6-0
Gonzaga,WCC,14,17,105,145,26-8,15-3,11-5,8-2,84,11,4-7,5-1,5-0,12-0
BYU,Big 12,15,12,74,111,23-11,11-9,12-2,3-7,52,275,7-8,4-3,4-0,8-0
Baylor,Big 12,16,15,7,81,23-11,12-8,11-3,4-5,4,59,9-10,5-1,4-0,5-0
Saint Mary's (CA)(AQ),WCC,17,16,104,144,25-8,17-1,8-7,9-0,99,71,5-4,3-2,5-2,12-0
San Diego St.,Mountain West,18,20,21,92,24-11,13-8,11-3,6-8,28,15,5-10,7-1,6-0,6-0
Wisconsin,Big Ten,19,21,4,78,22-14,14-10,8-4,3-9,6,31,5-9,9-5,4-0,4-0
Kentucky,SEC,20,18,74,111,23-10,13-6,10-4,7-3,65,194,6-7,2-1,8-2,7-0
Kansas,Big 12,21,19,8,82,22-11,10-9,12-2,3-7,3,28,7-10,7-0,4-1,4-0
Michigan St.,Big Ten,22,24,6,79,20-15,11-11,9-4,3-7,12,25,4-10,6-5,6-0,4-0
Clemson,ACC,23,35,10,84,24-12,11-10,13-2,6-6,18,20,7-6,7-5,5-1,5-0
Dayton,Atlantic 10,24,23,78,114,25-8,14-5,11-3,6-5,89,24,4-4,5-4,9-0,7-0
Colorado,Pac-12,25,25,38,100,26-11,15-8,11-3,4-7,72,104,6-6,7-5,6-0,7-0
New Mexico(AQ),Mountain West,26,22,86,122,25-10,14-8,11-2,5-6,85,220,5-7,3-2,7-0,10-1
Indiana St.,MVC,27,28,113,151,31-7,19-4,12-3,9-4,116,119,2-4,6-2,11-0,12-1
Texas,Big 12,28,30,38,100,21-13,9-10,12-3,4-6,15,108,6-9,3-3,5-1,7-0
St. John's (NY),Big East,29,32,38,100,20-13,12-10,8-3,5-6,31,187,4-10,6-2,3-1,7-0
Florida,SEC,30,29,34,99,24-12,14-8,10-4,3-7,33,91,6-9,4-2,8-1,6-0
Boise St.,Mountain West,31,26,54,105,20-11,13-6,7-5,7-3,55,27,6-6,3-5,3-0,8-0
Pittsburgh,ACC,32,40,81,116,22-11,13-9,9-2,7-4,77,346,5-7,4-2,6-2,7-0
Colorado St.,Mountain West,33,36,48,103,23-11,12-9,11-2,4-7,60,57,5-9,6-1,6-1,6-0
Texas Tech,Big 12,34,27,38,100,23-11,12-8,11-3,4-6,38,283,6-10,4-1,6-0,7-0
Nebraska,Big Ten,35,33,61,108,23-11,13-9,10-2,3-8,66,255,4-8,5-3,7-0,7-0
Mississippi St.,SEC,36,31,26,95,21-14,10-11,11-3,2-8,30,184,4-10,4-3,7-0,6-1
Texas A&M,SEC,37,45,34,99,21-15,11-10,10-5,6-6,14,18,8-8,6-3,2-4,5-0
Nevada,Mountain West,38,34,93,130,25-8,13-6,12-2,8-3,90,208,7-6,2-1,7-1,9-0
Cincinnati,Big 12,39,37,38,100,22-15,9-12,13-3,4-8,43,235,4-12,5-1,4-2,9-0
Wake Forest,ACC,40,43,57,107,21-14,12-10,9-4,2-9,76,249,4-8,5-4,6-2,6-0
Washington St.,Pac-12,41,44,79,115,25-10,15-7,10-3,6-4,83,172,7-5,3-4,7-1,8-0
Villanova,Big East,42,41,38,100,18-16,11-11,7-5,4-8,26,93,4-12,5-1,3-3,6-0
Utah St.,Mountain West,43,38,90,126,26-7,15-5,11-2,8-4,86,95,5-6,4-1,7-0,10-0
Fla. Atlantic,American,44,39,91,129,25-9,15-5,10-4,5-5,100,51,2-2,8-4,8-1,7-2
